a1;d1;d2;d3
1.288;0.82;;
0.959;1.604;0.103;
1.021;2.806;;
1.309;4.525;;
1.02;3.497;1.976;-0.531
0.868;0.213;;
0.786;-0.239;-1.812;
0.954;-0.436;;
1.011;0.03;-1.292;-2.964
1.624;0.044;-2.096;-4.05
1.429;2.957;1.102;-0.857
1.102;2.891;0.847;-0.979
1.281;0.524;-1.376;-3.945
0.852;2.337;;
1.05;0.906;-1.681;
0.849;1.909;-1.493;
1.476;4.21;1.898;-1.975
0.758;2.833;0.624;
1.535;4.784;3.038;-0.674
1.749;0.752;-1.51;
1.16;2.193;-1.297;
1.682;2.704;0.262;
1.231;1.979;-1.116;
1.912;4.724;2.983;-0.61
2.237;5.127;3.295;-0.3
