"ID";"esq_q1_sem0";"esq_q2_sem0";"esq_q3_sem0";"esq_q4_sem0";"esq_q5_sem0";"esq_q6_sem0";"esq_q7_sem0";"esq_q8_sem0";"esq_q9_sem0";"esq_q10_sem0";"esq_q11_sem0";"esq_q12_sem0";"esq_q13_sem0";"esq_q14_sem0";"esq_q15_sem0";"esq_q16_sem0";"esq_q17_sem0";"esq_q18_sem0";"esq_q19_sem0";"esq_q20_sem0";"esq_q21_sem0";"esq_q22_sem0";"esq_q23_sem0";"esq_q24_sem0";"esq_q25_sem0";"F1";"SE_F1";"escore.cat";"F1novo";"escore.cat.novo"
1;1;2;1;1;2;0;1;1;2;2;1;2;2;1;0;1;1;1;0;0;2;2;1;1;1;"-0,5168896203865597";"0,34186512505074756";"boa";"224,155518980672";"boa"
2;1;2;1;0;2;1;2;0;3;3;3;2;2;1;1;2;3;1;2;2;1;1;2;3;3;"1,0742522324145138";"0,3483351082786628";"muito boa";"303,7126116207257";"muito boa"
3;0;0;0;0;2;1;2;0;2;3;2;3;3;1;1;2;2;2;2;1;1;1;1;3;2;"0,09818378980539892";"0,3114654194546444";"boa";"254,90918949026994";"boa"
4;1;2;1;0;2;1;0;0;1;1;1;1;1;0;1;1;2;1;3;1;0;2;0;2;3;"-0,19028334921024934";"0,29985188102812876";"boa";"240,48583253948755";"boa"
5;1;2;1;1;2;1;2;1;2;3;3;2;3;1;1;2;3;2;3;2;2;2;1;2;1;"1,3334180462759118";"0,3761920635539009";"muito boa";"316,6709023137956";"muito boa"
6;1;2;1;0;2;0;1;1;1;0;2;2;1;0;1;1;2;1;3;1;0;1;0;3;2;"-0,26110322309577594";"0,2939329645910966";"boa";"236,9448388452112";"boa"
7;1;2;1;1;3;0;0;1;1;1;3;2;3;1;1;1;2;1;2;2;2;2;1;1;1;"0,3111349361358059";"0,3371480351827616";"boa";"265,5567468067903";"boa"
8;0;0;1;1;2;1;1;0;2;3;1;2;2;0;2;1;0;1;0;1;2;0;0;0;0;"-1,1996081612257685";"0,3735605693843009";"ruim";"190,01959193871159";"ruim"
9;0;0;1;0;0;1;0;1;0;2;2;3;2;1;1;1;1;1;2;0;1;1;2;1;0;"-0,9357968814063675";"0,3390508220512378";"boa";"203,21015592968163";"boa"
10;1;2;1;0;3;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;2;1;1;0;0;"-1,4321896261858866";"0,35441584296238565";"ruim";"178,39051869070568";"ruim"
11;0;0;1;1;0;1;1;0;0;0;0;1;0;0;2;2;0;0;0;1;2;0;0;0;0;"-2,187903306201965";"0,3634807250156139";"muito ruim";"140,60483468990174";"muito ruim"
12;1;2;1;1;1;1;1;1;2;3;2;3;2;1;2;1;1;1;1;2;0;2;2;0;0;"0,16715606572715144";"0,3905791342374706";"boa";"258,3578032863576";"boa"
13;0;0;0;0;0;0;0;0;2;1;0;2;0;0;1;1;2;0;2;2;1;1;1;3;2;"-0,826467286704433";"0,3263565393096103";"boa";"208,67663566477836";"boa"
14;1;1;1;1;3;1;1;1;1;2;3;1;3;1;2;1;3;0;2;2;1;1;1;2;2;"0,5227997578030995";"0,32060749993457555";"muito boa";"276,139987890155";"muito boa"
15;0;0;0;0;2;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;2;1;0;0;"-1,7080138518879182";"0,3327528781271998";"ruim";"164,5993074056041";"ruim"
16;0;0;1;1;0;1;2;1;1;2;1;2;0;1;1;1;1;0;1;2;2;2;1;1;0;"-0,7104204550392307";"0,35635046974956264";"boa";"214,47897724803846";"boa"
17;1;2;1;1;3;1;2;1;2;2;2;3;2;1;2;2;1;0;1;2;1;1;2;1;2;"0,4784013239770722";"0,34754135774123374";"boa";"273,9200661988536";"boa"
18;0;0;0;0;1;0;1;1;1;0;0;2;1;0;2;1;3;1;3;2;0;2;0;3;3;"-0,17880960252609876";"0,33498816433387957";"boa";"241,05951987369505";"boa"
19;1;1;1;0;2;0;0;1;2;1;2;1;0;0;1;1;0;0;1;1;0;1;0;0;1;"-1,3753489702374164";"0,31637759037178625";"ruim";"181,23255148812916";"ruim"
20;0;0;1;0;2;0;0;0;1;1;3;2;2;1;0;0;0;1;1;1;2;2;1;0;0;"-1,0993830064795114";"0,3655340798836404";"ruim";"195,03084967602445";"ruim"
21;1;2;1;0;1;0;1;0;1;0;1;2;1;1;0;0;2;0;1;0;1;2;2;2;2;"-0,7384625580364256";"0,31052928749670955";"boa";"213,0768720981787";"boa"
22;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;1;0;"-2,4067221258764095";"0,3205358738852418";"muito ruim";"129,66389370617952";"muito ruim"
23;1;1;1;1;1;0;0;1;1;2;1;2;3;0;1;2;2;0;3;2;2;1;2;2;2;"0,23419472506034866";"0,31886976602690786";"boa";"261,7097362530174";"boa"
24;1;2;1;1;1;1;2;1;1;0;1;3;2;1;1;1;3;2;3;1;2;2;2;2;2;"0,591986839339613";"0,3211581434303243";"muito boa";"279,59934196698066";"muito boa"
25;0;0;0;0;3;0;2;0;3;1;1;2;1;1;2;2;3;2;3;2;2;1;2;3;3;"0,6586806878840661";"0,3248555133103213";"muito boa";"282,9340343942033";"muito boa"
26;0;0;1;0;3;1;2;1;2;1;3;2;2;1;2;1;2;0;3;2;0;2;1;1;2;"0,2397058848651357";"0,3281162423671303";"boa";"261,98529424325676";"boa"
27;1;2;1;1;2;0;2;1;2;3;3;2;3;1;1;2;3;2;3;2;1;2;2;3;3;"1,856679357538814";"0,40612576733582895";"muito boa";"342,83396787694073";"muito boa"
28;1;1;1;1;2;1;0;0;2;2;2;2;2;0;1;0;1;1;2;1;1;1;1;1;2;"-0,4121800358739605";"0,3046365135604093";"boa";"229,39099820630196";"boa"
29;1;1;1;1;2;1;2;1;2;2;3;3;1;1;2;2;2;2;1;1;1;2;2;1;2;"0,5619976758973069";"0,33069613577026347";"muito boa";"278,0998837948653";"muito boa"
30;1;2;1;1;3;1;2;1;2;2;2;3;2;1;1;0;3;2;3;2;2;1;2;3;3;"1,5310877835406733";"0,36244248376817345";"muito boa";"326,55438917703367";"muito boa"
31;0;0;1;1;1;0;2;0;2;0;2;1;3;0;1;1;1;1;0;0;1;1;1;1;0;"-1,42063671864729";"0,32555992494390074";"ruim";"178,96816406763548";"ruim"
32;1;1;1;0;3;0;1;0;1;1;2;1;2;0;1;1;1;1;2;2;1;0;0;0;0;"-0,993968732619706";"0,34431897237783887";"boa";"200,3015633690147";"boa"
33;1;2;1;1;1;1;0;0;1;0;1;2;1;1;2;0;2;2;2;1;2;2;1;2;2;"-0,11014180924710372";"0,2980332274371864";"boa";"244,4929095376448";"boa"
34;0;0;0;0;0;1;2;1;1;2;1;1;1;0;0;1;0;2;0;0;0;1;1;0;0;"-1,8588833076624915";"0,34280969370908426";"ruim";"157,05583461687542";"ruim"
35;1;2;1;1;3;1;1;1;2;2;2;3;3;1;2;1;2;1;3;1;2;1;2;1;0;"0,6782323550016159";"0,34698067657594295";"muito boa";"283,9116177500808";"muito boa"
36;1;1;1;1;3;1;2;0;2;1;2;2;3;0;2;2;1;1;1;2;1;0;2;0;0;"-0,2532905995669553";"0,37428317968230623";"boa";"237,33547002165224";"boa"
37;0;0;1;1;2;0;0;1;1;2;2;2;0;0;1;2;1;1;1;1;0;1;0;1;0;"-1,2063202188598463";"0,3204695105232301";"ruim";"189,6839890570077";"ruim"
38;1;2;1;1;3;1;1;1;2;1;1;3;2;1;2;2;3;1;2;2;1;2;2;2;2;"0,8548509604806233";"0,3266067988522319";"muito boa";"292,7425480240312";"muito boa"
39;1;1;1;0;2;1;1;0;1;2;3;2;2;1;0;1;2;1;2;1;2;2;2;2;1;"0,10969525094031908";"0,3172002703497709";"boa";"255,48476254701595";"boa"
